dataset,pred_len,mse,mae,model_id,seed,trainable_parameters,epochs_recorded,train_seconds,log_path,activation,alpha,armor_cycle,armor_dropout,armor_lr_scale,armor_scale,batch_size,c_out,channel_independence,checkpoints,class_strategy,compile,d_ff,d_layers,d_model,data,data_path,dec_in,des,devices,distil,do_predict,dropout,e_layers,efficient_training,embed,enc_in,exp_name,factor,features,fix_seed,freq,geomattn_dropout,gpu,inverse,is_training,itr,kernel_size,l1_weight,label_len,learning_rate,loss,lradj,m,model,moving_avg,n_heads,num_workers,output_attention,partial_start_index,patience,pct_start,requires_grad,root_path,seq_len,target,target_data_path,target_root_path,train_epochs,use_amp,use_embedding_armor,use_gpu,use_multi_gpu,use_norm,weight_decay,wv
ETTh1,96,0.35903629660606384,0.3895069360733032,ETTh1_p96_wvdb4,2025,19392,10,68.58508563041687,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wvdb4.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db4
ETTh1,192,0.4111686646938324,0.4168122708797455,ETTh1_p192_wvbior3.3,2025,22560,10,67.02924942970276,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p192_wvbior3.3.log,gelu,1.0,24,0.0,1.4,0.75,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,5e-05,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,bior3.3
ETTh1,336,0.42646080255508423,0.43076062202453613,ETTh1_p336_arch11,2025,141496,9,103.99865555763245,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p336_arch11.log,gelu,0.0,24,0.1,1.4,1.25,256,7,False,./checkpoints/,projection,False,128,1,64,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,3,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0,0,0.002,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ETTh1,720,0.45363208651542664,0.4546850323677063,ETTh1_p720_wvbior3.3,2025,39984,8,35.492146015167236,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p720_wvbior3.3.log,gelu,0.9,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.009,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,bior3.3
ETTh2,96,0.2725314497947693,0.33419284224510193,ETTh2_p96_x2_multiscale_74,2025,19392,10,105.74608588218689,logs/esimpletm_grid_expanded_ETTh2/ETTh2_p96_x2_multiscale_74.log,gelu,0.1,24,0.2,2.0,0.75,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh2,ETTh2.csv,7,ESimpleTMGridETTh2AppendV2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.35,0,False,1,1,,0.0005,0,0.006,MSE,TST,3,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,bior3.3
ETTh2,192,0.35397475957870483,0.38573458790779114,ETTh2_p192_x2_geoarmor_151,2025,22392,5,44.06607627868652,logs/esimpletm_grid_expanded_ETTh2/ETTh2_p192_x2_geoarmor_151.log,gelu,0.05,24,0.0,0.3,0.35,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh2,ETTh2.csv,7,ESimpleTMGridETTh2AppendV2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.0069,MSE,TST,1,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ETTh2,336,0.3610353469848633,0.39727529883384705,ETTh2_p336_x2_geoarmor_263,2025,173824,6,73.89883661270142,logs/esimpletm_grid_expanded_ETTh2/ETTh2_p336_x2_geoarmor_263.log,gelu,0.85,24,0.0,0.3,0.35,256,7,False,./checkpoints/,projection,False,96,1,96,ETTh2,ETTh2.csv,7,ESimpleTMGridETTh2AppendV2,"0,1,2,3",True,False,0.1,2,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0,0,0.003,MSE,TST,1,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ETTh2,720,0.40876638889312744,0.43334636092185974,ETTh2_p720_x2_fusion_447,2025,132928,5,54.08177065849304,logs/esimpletm_grid_expanded_ETTh2/ETTh2_p720_x2_fusion_447.log,gelu,0.95,24,0.05,0.5,0.2,256,7,False,./checkpoints/,projection,False,128,1,64,ETTh2,ETTh2.csv,7,ESimpleTMGridETTh2AppendV2,"0,1,2,3",True,False,0.1,2,False,timeF,7,MTSF,1,M,2025,h,0.35,0,False,1,1,,1e-05,0,0.0033,MSE,TST,1,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.005,db1
ETTm1,96,0.3014746308326721,0.3461741805076599,ETTm1_p96_arch11,2025,125896,10,415.12893867492676,logs/esimpletm_grid_expanded_ETTm1/ETTm1_p96_arch11.log,gelu,0.1,24,0.0,1.0,1.0,256,7,False,./checkpoints/,projection,False,128,1,64,ETTm1,ETTm1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,3,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ETTm1,192,0.34795844554901123,0.37466222047805786,ETTm1_p192_arch6,2025,33072,10,282.05800461769104,logs/esimpletm_grid_expanded_ETTm1/ETTm1_p192_arch6.log,gelu,0.1,24,0.0,1.0,1.0,256,7,False,./checkpoints/,projection,False,64,1,32,ETTm1,ETTm1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,2,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
